machineID,error1count,error2count,error3count,error4count,error5count,model,TRUE,FALSE
1,8,16,27,0,32,model3,56,2857
2,8,24,24,0,0,model4,24,2889
3,8,32,32,0,0,model3,40,2873
4,16,32,32,0,0,model3,48,2865
5,32,24,24,0,0,model3,56,2857
6,0,0,0,0,0,model3,0,2913
7,24,32,32,7,24,model3,72,2841
8,0,16,16,0,24,model3,40,2873
9,32,40,40,8,0,model4,72,2841
10,8,32,32,0,0,model3,40,2873
11,0,19,16,32,0,model2,40,2873
12,24,27,24,6,0,model3,40,2873
13,32,24,24,24,32,model1,80,2833
14,16,16,24,0,0,model3,32,2881
15,16,16,16,0,24,model3,40,2873
16,24,24,24,40,0,model1,80,2833
17,24,36,32,32,24,model1,96,2817
18,8,24,24,0,32,model3,64,2849
19,16,0,0,0,40,model3,56,2857
20,16,32,40,24,32,model2,104,2809
